bbl,address,ownername,property_manager,yearalter,numfloors,unitstotal,total_gross_floor_area,office_sqft,% Leased,LL33 grade,Latest_ENERGY_STAR_Score,Latest_Target_ENERGY_STAR_Score,Estimated_Target_ENERGY_STAR_Score,Class,LandlordContact,PropertyManagerContact,2024 Building OpEx/SF,Typical Floor Sq Ft,Number Of Elevators,GreenRating,neighborhood,latitude,longitude
1005810063,"225 Varick St, New York, NY 10014",Hines,CBRE,2015,12.0,33,299592,292116.0,79.4,B,54,75.0,,B,Neil King (212) 984-8352 (p),(212) 230-2300 (p),$12.47 ,24829.0,11.0,,Midtown,40.7289729,-74.0054939
1005970001,"515 Greenwich St, New York, NY 10013",Trinity Church Wall Street,CBRE,2012,5.0,9,59615,49615.0,18.4,B,75,,75.0,A,,,,,,,Tribeca,40.7262355,-74.008826
1005970012,"78 Vandam St, New York, NY 10013",Jack Resnick & Sons,Jack Resnick & Sons,2016,10.0,14,427972,366584.0,90.1,A,93,90.0,,A,,,,,,,SoHo-Little Italy-Hudson Square,40.726263,-74.007985
1005970062,"323 Hudson St, New York, NY 10013",Divco West Services,CBRE,2016,10.0,39,193813,164741.05,75.4,A,87,,98.0,B,Paul Amrich (212) 984-8122 (p),(212) 453-6420 (p),$12.77 ,16806.0,5.0,Energy Star; LEED Gold,SoHo-Little Italy-Hudson Square,40.7268861,-74.0080974
1005990064,"375 Hudson St, New York, NY 10014",Trinity Church Wall Street,CBRE,2014,18.0,6,1076164,910823.0,93.5,A,85,75.0,,A,Neil King (212) 984-8352 (p),,,,,,Tribeca,40.7285001,-74.0073622
1006010047,"120 Leroy St, New York, NY 10014",Centaur Properties,Newmark,2018,9.0,9,118000,118000.0,97.9,D,18,,53.0,B,,,,,,,West Village,40.73006,-74.007968
1006020068,"435 Hudson St, New York, NY 10014",Hines,Hudson Square Properties,2017,9.0,26,245330,232530.0,100.0,C,50,77.0,,B,(212) 602-0867 (p),(212) 230-2300 (p),$14.14 ,26955.0,8.0,LEED Gold,Tribeca,40.7306514,-74.0071517
1006090007,"154 W 14th St, New York, NY 10011",Abner Properties,Koeppel Rosen,2016,12.0,13,140044,134044.0,72.5,A,90,,89.0,C,,,$7.67 ,13939.0,5.0,,Greenwich Village,40.738153,-73.9995658
1006450029,"416 W 13th St, New York, NY 10014",Greenway Mews Realty,Avison Young,2014,3.0,14,144000,122400.0,56.0,B,78,,72.0,A,Joseph Gervino (212) 858-0798 (p),(212) 989-7930 (p),$17.03 ,36155.0,3.0,,Greenwich Village,40.758,-73.9855
1006460001,"40 10 Ave, New York, NY 10034",Aurora Capital Associates,Aurora Capital Associates,2017,12.0,9,158847,100809.0,100.0,D,14,,52.0,A,Jake Bank (212) 789-7117 (p),,$25.20 ,15694.0,1.0,,West Village,40.8650279,-73.9185135
1006460019,"860 Washington St, New York, NY 10014",Meadow Partners,CBRE,2011,10.0,8,122098,106239.0,88.4,D,48,62.0,,A,Paul Amrich (212) 984-8122 (p),,$21.64 ,11723.0,6.0,,West Village,40.7412694,-74.0075924
1006460027,"428 W 14th St, New York, NY 10014",Rockpoint,CBRE,2017,5.0,49,53658,43152.0,91.5,D,39,,68.0,B,Neil King (212) 984-8352 (p),(617) 321-5500 (p),$15.41 ,22600.0,0.0,,West Village,40.758,-73.9855
1006720001,"601 W 26th St, New York, NY 10001",Blackstone,CBRE,2023,19.0,264,1925012,1814700.0,57.4,A,89,86.0,,B,Evan Haskell (212) 984-8049 (p),,,,,,Chelsea-Hudson Yards,40.7515771,-74.006581
1006980001,"244 11 Ave, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,1983,7.0,1,174186,131268.05,100.0,A,9,,39.0,B,,,,,,,Chelsea-Hudson Yards,40.750995,-74.004904
1007120029,"47 9 Ave, New York, NY 10011","Tavros Capital Partners, Arel",Newmark,2024,4.0,10,62199,36092.0,17.9,D,20,,60.0,A,Howard Hersch (212) 655-0626 (p),,$8.66 ,6331.0,0.0,,Chelsea-Hudson Yards,40.7413531,-74.0055043
1007130001,"75 9 Ave, New York, NY 10011",Google,Newmark,2015,8.0,167,1100533,901426.0,100.0,N (exempt),30,75.0,,B,,,,,,Energy Star; LEED Gold,Chelsea,40.7421933,-74.0045436
1007280060,"442 W 31st St, New York, NY 10001",450 West 31st Ownrscp,CBRE,2016,12.0,15,119996,112146.0,90.5,A,92,85.0,,B,Patrick Moroney (212) 984-6597 (p),,$7.19 ,11000.0,3.0,,Chelsea-Hudson Yards,40.7521268,-73.9999179
1007390001,"111 8 Ave, New York, NY 10011",Google,CBRE,2019,17.0,133,2161994,1595459.0,100.0,N (exempt),30,,49.0,A,Kenneth Rapp (212) 984-7171 (p),,,,,,Chelsea,40.7409942,-74.0019257
1007570054,"330 W 34th St, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2014,18.0,1,618653,549494.4,100.0,A,86,,79.0,A,Josh Glick (212) 894-7413 (p),,,,,,Chelsea-Hudson Yards,40.7519787,-73.9957292
1007580082,"440 9 Ave, New York, NY 10001",SL Green Realty,CBRE,1999,18.0,33,384610,327596.0,96.2,A,86,,77.0,A,,,,,,,Chelsea-Hudson Yards,40.7536567,-73.9955598
1007590045,"519 8 Ave, New York, NY 10018",Kaufman Organization,Kaufman Organization,2007,25.0,35,330291,306591.0,75.7,A,86,,79.0,B,Sam Stein (212) 471-4317 (p),,$5.94 ,16000.0,12.0,,Chelsea-Hudson Yards,40.7533976,-73.9929483
1007600032,"307 W 36th St, New York, NY 10018",GFP Real Estate,GFP Real Estate,2019,18.0,20,232458,205254.0,90.2,A,85,,80.0,B,,,,,,,Garment District,40.7539267,-73.9930064
1007600055,"320 W 37th St, New York, NY 10018",Sioni Group,LSL Advisors,1989,15.0,1,109885,92000.0,100.0,A,90,,82.0,B,Daniel Lolai (212) 278-8071 (p),Ray Yadidi (212) 398-4444 (p),$13.30 ,7333.0,3.0,,Chelsea-Hudson Yards,40.7544565,-73.9932668
1007610033,"545 8 Ave, New York, NY 10018",Global Holdings Management,Global Holdings Management,1986,23.0,58,169596,164478.0,91.9,A,91,,88.0,B,Alexander Radmin (347) 745-8251 (p),Joseph Pierotti (919) 251-5788 (p),$6.80 ,7685.0,5.0,,Chelsea-Hudson Yards,40.7544946,-73.9921654
1007620033,"575 8 Ave, New York, NY 10018",Olmstead Properties,Olmstead Properties,2009,23.0,41,224400,197400.0,88.5,B,73,,83.0,B,Daniel Breiman (212) 564-4115 (p),Noemi Rosario (212) 564-6662 (p),$9.14 ,9765.0,10.0,,Chelsea,40.7550116,-73.9917432
1007620050,"318 W 39th St, New York, NY 10018",GFP Real Estate,GFP Real Estate,2015,12.0,12,156508,152946.0,88.1,A,91,,87.0,B,,,,,,,Garment District,40.7556302,-73.9924177
1007630024,"315 W 39th St, New York, NY 10018",Handler Real Estate Services,Handler Real Estate Services,2008,16.0,137,132684,117821.0,98.6,B,85,,80.0,B,Darell Handler (646) 597-6171 (p),Jesse McNeill (212) 398-1888 (p),$7.22 ,8292.0,7.0,,Garment District,40.7559406,-73.9920706
1007660061,"230 W 17th St, New York, NY 10011",Carnegie Hill Properties,Cushman & Wakefield,1999,8.0,8,53168,53168.0,62.7,F,100,,98.0,B,Stephen Riker (212) 318-9797 (p),Michael Dubin (212) 944-8006 (p),$13.37 ,6000.0,2.0,,Chelsea,40.7409512,-73.999838
1007760059,"236 W 27th St, New York, NY 10001",Rosen Equities,Koeppel Rosen,2001,15.0,1,94331,80181.35,100.0,B,74,,88.0,C,,,$7.51 ,7400.0,1.0,,Midtown South-Flatiron-Union Square,40.7473087,-73.9957032
1007780020,"239 W 28th St, New York, NY 10001",Lexin,Lexin,2021,12.0,10,156500,137500.0,62.9,A,89,,87.0,B,Aaron Marcus (212) 750-3049 (p),(212) 519-2000 (p),$13.54 ,12786.0,5.0,,Midtown South-Flatiron-Union Square,40.758,-73.9855
1007780036,"322-326 7Th Ave, New York, NY 10001",GFP Real Estate,GFP Real Estate,2020,12.0,1,87620,74477.0,100.0,C,55,,67.0,B,Allen Gurevich (212) 609-7141 (p),Nicole Camacho-Key (212) 609-8000 (p),$9.06 ,11100.0,7.0,,East Village,40.7474448,-73.9935288
1007780043,"330 7 Ave, New York, NY 10001",GFP Real Estate,GFP Real Estate,2004,21.0,1,217084,217084.0,100.0,B,71,55.0,,B,Alphie Toro (212) 372-2183 (p),Alphie Toro (212) 609-8000 (p),$9.30 ,12000.0,1.0,,Garment District,40.7477871,-73.993184
1007790013,"241 W 29th St, New York, NY 10001",Rosen Equities,Koeppel Rosen,1991,17.0,27,106960,87500.0,57.8,B,82,,83.0,C,,,$4.89 ,6200.0,1.0,,Midtown South-Flatiron-Union Square,40.7487165,-73.9949373
1007790017,"231 W 29th St, New York, NY 10001",Kaufman Organization,Kaufman Organization,1992,15.0,14,144323,135323.0,98.6,N (exempt),75,90.0,,C,Sam Stein (212) 471-4317 (p),Sam Stein (212) 471-4300 (p),$5.98 ,10000.0,6.0,,Garment District,40.7484665,-73.9940387
1007790041,"352 7 Ave, New York, NY 10001",AM Property Holding,Newmark,1989,16.0,19,127488,121004.0,90.3,D,52,,63.0,B,JD Cohen (212) 850-5476 (p),(212) 279-2392 (p),$8.80 ,8500.0,7.0,,Midtown South-Flatiron-Union Square,40.7482609,-73.9928549
1007790057,"224 W 30th St, New York, NY 10001",Starpointe Management,Okada & Company,1989,14.0,65,142801,132801.0,90.0,A,94,,96.0,B,Hiro Iwata (212) 244-4240 (p),Jeffrey Tao (212) 226-0789 (p),$6.04 ,11286.0,1.0,,Midtown South-Flatiron-Union Square,40.7489321,-73.9936818
1007790075,"400 8 Ave, New York, NY 10001",Himmel + Meringoff,Himmel + Meringoff,2020,8.0,1,75876,70506.0,100.0,D,59,53.0,,B,Adam Weissleder (212) 337-7763 (p),Willie Choi (212) 645-7575 (p),$15.29 ,10630.0,2.0,,Midtown South-Flatiron-Union Square,40.7493705,-73.9953086
1007800010,"251 W 30th St, New York, NY 10001",Justin Towers,Resolution Real Estate,2017,16.0,38,104199,81972.0,88.1,A,86,,83.0,B,(212) 519-2000 (p),(212) 519-2000 (p),$5.02 ,6000.0,6.0,,Midtown South-Flatiron-Union Square,40.7494632,-73.9942724
1007800013,"247 W 30th St, New York, NY 10001",SYU Properties,Okada & Company,1988,16.0,20,64625,50747.0,96.0,B,83,85.0,,B,Thomas Capuano (212) 244-4240 (p),Eliran Elishayev (212) 302-0472 (p),$8.71 ,3500.0,3.0,,Midtown South-Flatiron-Union Square,40.7492684,-73.9940446
1007800036,"370 7 Ave, New York, NY 10001",Brookfield,Brookfield,2022,17.0,1,416321,282525.55,100.0,N (exempt),60,,64.0,A,,,,,,Energy Star; LEED Gold,Midtown South-Flatiron-Union Square,40.7489275,-73.9925231
1007800071,"254 W 31st St, New York, NY 10001",Winoker Realty,Lee & Associates,2023,15.0,15,65977,59013.0,100.0,C,67,,79.0,B,Todd Korren (212) 776-1283 (p),(212) 519-2000 (p),$8.91 ,4110.0,2.0,,Garment District,40.7499055,-73.9943711
1007830070,"250 W 34th St, New York, NY 10119",Vornado Realty Trust,Vornado Realty Trust,2023,57.0,451,2336771,2155372.0,84.5,C,65,,70.0,B,,,,,,,Midtown South-Flatiron-Union Square,40.7511763,-73.9915447
1007840041,"450 7 Ave, New York, NY 10123",Kaufman Organization,Kaufman Organization,1987,46.0,252,491253,491253.0,95.5,A,88,,79.0,B,Sam Stein (212) 471-4317 (p),Kathy Morrow (212) 563-6252 (p),$11.63 ,10679.0,22.0,,Midtown-Times Square,40.7512912,-73.9906392
1007840051,"212 W 35th St, New York, NY 10001",Kaufman Organization,Kaufman Organization,1965,16.0,18,84768,84768.0,86.7,A,96,,100.0,C,Sam Stein (212) 471-4317 (p),(212) 563-6252 (p),$6.55 ,5600.0,2.0,,Midtown-Times Square,40.7517901,-73.9907611
1007840060,"224 W 35th St, New York, NY 10101",Gatsby,Bullaro Properties Realty Services,2017,17.0,1,156320,121930.8,100.0,A,89,,100.0,C,James Bullaro (917) 270-8360 (p),(917) 270-8360 (p),$6.21 ,9875.0,7.0,,Midtown-Times Square,40.753411,-73.9930187
1007840064,"240 W 35th St, New York, NY 10001",MetLife,Lee & Associates,2009,17.0,35,165258,116233.0,52.8,F,79,,80.0,B,Todd Korren (212) 776-1283 (p),(212) 984-8000 (p),$11.57 ,8076.0,7.0,,Midtown-Times Square,40.7521012,-73.9920287
1007850037,"462 7 Ave, New York, NY 10018",Kaufman Organization,Kaufman Organization,2015,23.0,24,189734,189734.0,95.3,A,88,,85.0,B,Michael Heaner (212) 471-4310 (p),Sam Stein (212) 471-4300 (p),$10.10 ,8275.0,9.0,,Midtown-Times Square,40.7520457,-73.9901612
1007850041,"470 7 Ave, New York, NY 10018",Kaufman Organization,Kaufman Organization,2002,12.0,10,84575,77809.0,100.0,C,66,,86.0,C,Michael Heaner (212) 471-4310 (p),,$7.48 ,7048.0,1.0,,Midtown-Times Square,40.7521163,-73.9902176
1007850067,"242 W 36th St, New York, NY 10018",Kaufman Organization,Kaufman Organization,1962,13.0,37,152667,142667.0,66.7,A,91,,89.0,C,Grant Greenspan (212) 471-4340 (p),Grant Greenspan (212) 471-4300 (p),$4.73 ,12681.0,3.0,,Midtown-Times Square,40.7528229,-73.9916846
1007860013,"255 W 36th St, New York, NY 10018",Triangle Assets,Triangle Assets,2017,14.0,15,120459,112418.0,92.0,N (exempt),60,90.0,,B,Benjamin Stavrach (212) 398-1214 (p), Ali (212) 983-0338 (p),$8.18 ,8275.0,6.0,,Midtown-Times Square,40.7532276,-73.9914584
1007860023,"229 W 36th St, New York, NY 10018",Empire State Realty Trust,Lee & Associates,2008,12.0,29,130000,110500.0,53.7,A,86,,86.0,B,Todd Korren (212) 776-1283 (p),(866) 902-0063 (p),$13.07 ,8957.0,5.0,,Midtown-Times Square,40.7530215,-73.9909457
1007860051,"498 7 Ave, New York, NY 10018",Vornado Realty Trust,George Comfort & Sons,2010,24.0,1,936037,724637.0,100.0,A,87,90.0,,A,Andrew Conrad (212) 542-2101 (p),,,,,,Midtown-Times Square,40.7528218,-73.9896601
1007860068,"240 W 37th St, New York, NY 10018",Sioni Group,LSL Advisors,1929,10.0,42,145720,118016.0,94.3,A,86,,87.0,B,Daniel Lolai (212) 278-8071 (p),,$11.90 ,9212.0,6.0,,Midtown-Times Square,40.753421,-73.9910292
1007870020,"241 W 37th St, New York, NY 10018",Chetrit Group,Sido New York,1985,12.0,1,93948,74631.7,100.0,A,95,85.0,,B,John Akleh (917) 660-4162 (p),Mordechai Koppel (212) 398-0480 (p),$9.06 ,7367.0,6.0,Energy Star,Midtown-Times Square,40.7538706,-73.9909457
1007870040,"500 7 Ave, New York, NY 10018",Moinian Group,Cushman & Wakefield,2000,17.0,1,606000,587078.0,100.0,B,70,,73.0,B,Garett Varricchio (212) 841-5056 (p),,,,,,Garment District,40.7532695,-73.9911536
1007870044,"512 7 Ave, New York, NY 10018",Moinian Group,Cushman & Wakefield,2000,45.0,1,553748,470685.8,100.0,B,71,,72.0,B,Garett Varricchio (212) 841-5056 (p),,,,,,Garment District,40.7532972,-73.9887351
1007870072,"256 W 38th St, New York, NY 10018",Empire State Realty Trust,Lee & Associates,2014,14.0,18,96736,88736.0,54.0,A,91,,94.0,B,Benjamin Blumenthal (212) 947-7120 (p),Hella Westerfeld (212) 541-5500 (p),$7.61 ,8388.0,6.0,,Midtown-Times Square,40.7541793,-73.9909457
1007880004,"580 8 Ave, New York, NY 10018",Miriam Ungar,Olmstead Properties,1964,20.0,27,75115,65649.0,43.7,N (exempt),85,,85.0,C,Steven Marvin (212) 564-2141 (p),Tom Nikac (212) 564-6662 (p),$5.84 ,3800.0,1.0,,Midtown-Times Square,40.754852,-73.9911983
1007880049,"530 7 Ave, New York, NY 10018",Savitt Partners,Savitt Partners,2017,30.0,1,340000,346910.5,100.0,A,93,,86.0,B,Nicole Goetz (212) 452-6053 (p),(212) 944-8006 (p),$16.17 ,13604.0,18.0,,Midtown-Times Square,40.7540286,-73.9887643
1007880073,"250 W 39th St, New York, NY 10018",Lincoln Property,Newmark,2007,17.0,45,181921,176921.0,88.9,A,99,,100.0,B,JD Cohen (212) 850-5476 (p),Adam Crecca (332) 207-1483 (p),$8.96 ,12000.0,3.0,,Garment District,40.7547056,-73.990303
1007890014,"251 W 39th St, New York, NY 10018",Miriam Ungar,Olmstead Properties,2010,17.0,23,117554,81725.0,87.4,A,98,,91.0,B,Steven Marvin (212) 564-2141 (p),Tom Nikac (212) 564-6662 (p),$12.47 ,6780.0,1.0,,Garment District,40.7550883,-73.9900863
1007890021,"231 W 39th St, New York, NY 10018",Schur Management Company,Adams & Company,1989,12.0,84,218558,198558.0,83.1,A,93,,88.0,B,Jeff Buslik (917) 326-5532 (p),Bob Gethard (718) 733-6300 (p),$7.47 ,20907.0,1.0,LEED Gold,Garment District,40.7548782,-73.989835
1007890036,"550 7 Ave, New York, NY 10018",Adler Group,Kaufman Organization,2017,23.0,30,225981,214981.0,93.8,B,79,,78.0,B,Michael Heaner (212) 471-4310 (p),(212) 355-0600 (p),$9.72 ,11695.0,10.0,,Midtown-Times Square,40.7544525,-73.9884721
1007890052,"218 W 40th St, New York, NY 10018",Block Buildings,Savitt Partners,1985,12.0,35,166315,127486.0,72.9,A,96,,94.0,B,,,,,,,Midtown-Times Square,40.7550268,-73.9890394
1007890062,"240 W 40th St, New York, NY 10018",Sioni Group,LSL Advisors,2004,12.0,1,145773,128099.0,100.0,B,72,85.0,,B,Daniel Lolai (212) 278-8071 (p),,$13.79 ,13049.0,4.0,,Midtown-Times Square,40.7552667,-73.9895821
1007940017,"135 W 18th St, New York, NY 10011",P.J. Mechanical,Newmark,1989,5.0,12,52500,44625.0,19.5,B,72,,84.0,B,Alexander Kesseler (212) 372-0766 (p),Vivian Adamakos (212) 243-2555 (p),$20.67 ,12927.0,1.0,LEED Gold,Chelsea-Hudson Yards,40.740677,-73.9963747
1007940030,"615 Ave Of The Americas, New York, NY 10011",RXR Realty,RXR Property Management,1987,5.0,1,134235,127523.25,100.0,N (exempt),26,,48.0,B,,,,,,,Chelsea-Hudson Yards,40.7401534,-73.9952671
1007950028,"111 W 19th St, New York, NY 10011",Kaufman Organization,Kaufman Organization,2015,8.0,8,165513,125013.0,100.0,C,63,,77.0,C,Michael Heaner (212) 471-4310 (p),,$13.14 ,20689.0,7.0,,Chelsea-Hudson Yards,40.7410373,-73.9951908
1007950037,"635 Ave Of The Americas, New York, NY 10011",Spear Street,CBRE,2015,8.0,17,76651,65153.35,78.3,D,33,,66.0,B,Paul Amrich (212) 984-8122 (p),,,,,,Chelsea-Hudson Yards,40.740701,-73.9947021
1007950044,"641 Ave Of The Americas, New York, NY 10011",Spear Street,CBRE,1987,8.0,20,173891,127402.25,74.3,B,70,54.0,,A,Paul Amrich (212) 984-8122 (p),,$15.41 ,28317.0,5.0,,Chelsea-Hudson Yards,40.7408191,-73.9946183
1007990012,"155 W 23rd St, New York, NY 10011",MC Real Estate Partners,Kaufman Organization,2017,12.0,6,68940,64386.0,100.0,A,90,,86.0,B,Jared Sternberg (212) 471-4352 (p),(212) 563-6252 (p),$10.79 ,6933.0,1.0,,Chelsea,40.743953,-73.994592
1007990028,"119 W 23rd St, New York, NY 10011",Stellar Management,JBA Commercial,1989,10.0,1,98800,94400.0,100.0,B,71,64.0,,C,Jonathan Bernstein (212) 366-4832 (p),,$11.79 ,9750.0,4.0,,Chelsea-Hudson Yards,40.7434978,-73.9934297
1008000025,"119 W 24th St, New York, NY 10011",China Orient Asset Management Corporation,Kaufman Organization,2017,12.0,1,130876,130876.0,100.0,C,66,,80.0,B,Grant Greenspan (212) 471-4340 (p),(212) 563-6252 (p),$15.67 ,9931.0,4.0,LEED Gold,Chelsea-Hudson Yards,40.7441214,-73.9932635
1008000065,"150 W 25th St, New York, NY 10001",Dezer Properties,Dezer Properties,1983,12.0,8,66528,60984.0,77.0,A,96,,98.0,C,Richard Angel (212) 929-1285 (p),(212) 929-1285 (p),$8.50 ,5544.0,4.0,,Chelsea,40.7448054,-73.9938181
1008010001,"275 7 Ave, New York, NY 10001",Vornado Realty Trust,CBRE,1985,27.0,50,548680,371788.0,73.7,B,69,75.0,,B,Ross Zimbalist (212) 984-8162 (p),,,,,,Garment District,40.7456134,-73.9941716
1008010024,"119 W 25th St, New York, NY 10001",AFIAA,Cushman & Wakefield,2016,12.0,13,128947,113062.0,100.0,B,75,,73.0,B,Harley Dalton (212) 589-5106 (p),(212) 748-7684 (p),$15.08 ,12545.0,3.0,,Chelsea,40.7446471,-73.9926963
1008010055,"122 W 26th St, New York, NY 10001",Dezer Properties,Dezer Properties,2013,12.0,19,75888,64856.0,100.0,A,94,,96.0,B,,,$11.93 ,6324.0,4.0,,Chelsea,40.7450796,-73.9926056
1008020008,"151 W 26th St, New York, NY 10001",Abner Properties,Koeppel Rosen,1989,12.0,24,179131,171919.0,67.4,B,70,,78.0,C,,(212) 249-1550 (p),$8.44 ,16117.0,7.0,,Chelsea,40.7457455,-73.9931919
1008020056,"122 W 27th St, New York, NY 10001",Rosen Equities,Koeppel Rosen,1996,12.0,19,117291,109291.0,36.8,A,87,,89.0,C,,(212) 249-1550 (p),$6.12 ,8227.0,6.0,,Midtown South-Flatiron-Union Square,40.7457349,-73.9923305
1008020075,"158 W 27th St, New York, NY 10001",AFIAA,Cushman & Wakefield,2012,12.0,14,108000,89764.488,100.0,A,90,88.0,,B,,Jared Conlon (212) 481-1122 (p),$13.96 ,8820.0,6.0,,Midtown South-Flatiron-Union Square,40.7462,-73.9934323
1008030021,"121 W 27th St, New York, NY 10001",Mehra Properties,Okada & Company,2015,12.0,57,118785,104629.0,97.8,B,80,,80.0,B,Avery Reavill (212) 244-4240 (p),(212) 929-5300 (p),$9.71 ,10000.0,6.0,,Midtown South-Flatiron-Union Square,40.7460684,-73.9919615
1008030067,"150 W 28th St, New York, NY 10001",Dezer Properties,Dezer Properties,2002,18.0,76,123557,111615.0,93.3,A,93,,90.0,C,Richard Angel (212) 929-1285 (p),Richard Angel (212) 929-1285 (p),$8.37 ,5900.0,1.0,,Chelsea,40.7467391,-73.9928797
1008040001,"319 7 Ave, New York, NY 10001",Vornado Realty Trust,CBRE,1980,21.0,29,410334,106800.0,51.1,C,67,75.0,,A,Anthony Dattoma (212) 984-7101 (p),,,,,,Garment District,40.7472658,-73.9931222
1008040011,"145 W 28th St, New York, NY 10001",Dezer Properties,Living New York,2011,12.0,18,57906,53406.0,100.0,A,86,,86.0,B,Christel Engel (917) 696-3532 (p),,$9.71 ,4000.0,1.0,,Chelsea,40.7471372,-73.9924195
1008040044,"104 W 29th St, New York, NY 10001",Samco Properties,Newmark,2003,12.0,12,130060,114079.0,100.0,A,90,,90.0,B,Brett Harvey (212) 372-2099 (p),,$8.08 ,10000.0,1.0,,Midtown South-Flatiron-Union Square,40.7467787,-73.9905857
1008050003,"345 7 Ave, New York, NY 10001",Katan Realty Group,Okada & Company,2020,25.0,72,190325,183366.0,49.3,A,97,,92.0,A,Ralph Giordano (212) 244-4240 (p),(212) 594-1414 (p),$6.76 ,7640.0,9.0,,Midtown South-Flatiron-Union Square,40.7480629,-73.9924192
1008050019,"135 W 29th St, New York, NY 10001",Kaufman Organization,Kaufman Organization,2000,12.0,45,70862,70222.0,79.8,A,95,90.0,,B,Grant Greenspan (212) 471-4340 (p),(212) 471-4300 (p),$10.09 ,5905.0,4.0,,Midtown South-Flatiron-Union Square,40.7474564,-73.9914092
1008060009,"145 W 30th St, New York, NY 10001",Feil Organization,Feil Organization,2001,12.0,1,98598,74397.1,100.0,N (exempt),92,,90.0,B,Kyle Young (212) 609-8658 (p),Barry Zimmerman (212) 563-6557 (p),$7.56 ,8300.0,4.0,,Midtown South-Flatiron-Union Square,40.7483343,-73.9915724
1008070001,"393 7 Ave, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2010,26.0,78,1132632,1073917.209,85.3,B,75,,61.0,A,,,,,,,Garment District,40.7491459,-73.9916751
1008070039,"875 Ave Of The Americas, New York, NY 10001",Kaufman Organization,Kaufman Organization,2008,25.0,47,214349,182196.65,76.7,N (exempt),83,,81.0,B,Grant Greenspan (212) 471-4340 (p),Grant Greenspan (212) 471-4300 (p),$13.35 ,8244.0,10.0,,Bryant Park,40.7482653,-73.9892748
1008080040,"100 W 33rd St, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2016,12.0,82,1123365,766718.0,100.0,A,92,,86.0,B,Jared Silverman (212) 894-7458 (p),,,,,,Midtown South-Flatiron-Union Square,40.7492737,-73.9896634
1008110021,1333 BROADWAY,Empire State Realty Trust,Cushman & Wakefield,2013,12.0,120,313294,153018.0,91.8,B,27,,41.0,B,Anthony LoPresti (212) 841-7500 (p),(212) 687-8700 (p),$15.57 ,30220.0,9.0,,Midtown,40.7511379,-73.9880074
1008110031,"1350 Broadway, New York, NY 10018",Empire State Realty Trust,Cushman & Wakefield,2008,24.0,111,386786,342926.0,97.8,A,86,85.0,,A,Robert Lowe (212) 841-5974 (p),(212) 687-8700 (p),$13.51 ,16111.0,12.0,,Financial District,40.7507429,-73.9875574
1008110051,"132 W 36th St, New York, NY 10018",Kaufman Organization,Kaufman Organization,2019,12.0,35,187350,168050.0,100.0,A,93,,90.0,B,,,,,,,Midtown-Times Square,40.7516036,-73.9885069
1008110056,"142 W 36th St, New York, NY 10018",ADAM Asset Management,Cushman & Wakefield,2013,16.0,23,101203,88203.0,87.5,A,94,78.0,,B,,,,,,,Midtown-Times Square,40.7517257,-73.9887408
1008120006,"491 7 Ave, New York, NY 10018",Block Buildings,Savitt Partners,2014,25.0,1,182000,180000.0,100.0,A,91,,88.0,B,Elliot Zelinger (212) 452-6078 (p),Thomas Block (917) 339-0344 (p),$9.56 ,4800.0,12.0,,Midtown-Times Square,40.752632,-73.9892138
1008120069,"148 W 37th St, New York, NY 10018",Adams & Company,Adams & Company,2017,14.0,29,93846,87846.0,100.0,A,94,,94.0,B,Jeff Buslik (917) 326-5532 (p),Kenneth Walsh (917) 326-5500 (p),$8.15 ,7200.0,6.0,,Garment District,40.7525128,-73.9888568
1008130055,"1385 Broadway, New York, NY 10018",Columbia University,Savitt Partners,2019,23.0,303,499340,422642.0,95.3,A,90,,82.0,B,Nicole Goetz (212) 452-6053 (p),,,,,,Midtown-Times Square,40.752844,-73.9873093
1008140046,"108 W 39th St, New York, NY 10018",Joseph P. Day,Joseph P. Day,2018,16.0,97,118949,111449.0,74.6,A,91,,85.0,B,Michael Kaufman (212) 563-3000 info@kaufmanorganization.com,,,,,,Midtown-Times Square,40.7530225,-73.9861561
1008150001,"1411 Broadway, New York, NY 10018",La Caisse,CBRE,2016,42.0,1,1088074,924862.9,100.0,B,79,60.0,,A,Paul Amrich (212) 984-8122 (p),,,,,,Financial District,40.7541115,-73.9872849
1008150014,"1412 Broadway, New York, NY 10018",ABS Partners,Okada & Company,2014,24.0,79,361767,361767.0,81.2,A,88,85.0,,B,Thomas Capuano (212) 244-4240 (p),Isaac Chetrit (212) 226-5795 (p),$12.91 ,17291.0,13.0,,Midtown-Times Square,40.753615,-73.9865612
1008150046,"1430 Broadway, New York, NY 10018",Steinberg,Newmark,2019,22.0,1,364000,309400.0,100.0,C,59,,73.0,B,Kenneth Kronstadt (646) 441-3837 (p),(212) 752-7474 (p),$12.40 ,16545.0,10.0,,Midtown-Times Square,40.7539398,-73.9865382
1008160037,"84 5 Ave, New York, NY 10011",Vornado Realty Trust,Vornado Realty Trust,2014,11.0,4,139895,125508.0,99.1,B,84,,81.0,A,Alexandra Bedell (212) 894-7407 (p),,,,,LEED Gold,Midtown South-Flatiron-Union Square,40.7387773,-73.9913957
